company,period_end,revenue,cogs,accounts_receivable,inventory,accounts_payable,operating_cash_flow,capex
3M,2022-12-31,26161000000.0,15853000000.0,4532000000.0,5372000000.0,3183000000.0,5591000000.0,1749000000.0
3M,2023-12-31,24610000000.0,14983000000.0,3601000000.0,3944000000.0,2776000000.0,6680000000.0,1615000000.0
3M,2024-12-31,24575000000.0,14447000000.0,3194000000.0,3698000000.0,2660000000.0,1819000000.0,1181000000.0
3M,2025-12-31,24948000000.0,14991000000.0,3533000000.0,3661000000.0,2702000000.0,2306000000.0,910000000.0
Caterpillar,2022-12-31,59427000000.0,41915000000.0,17869000000.0,16270000000.0,8689000000.0,7766000000.0,2599000000.0
Caterpillar,2023-12-31,67060000000.0,43797000000.0,18820000000.0,16565000000.0,7906000000.0,12885000000.0,3092000000.0
Caterpillar,2024-12-31,64809000000.0,41485000000.0,18847000000.0,16827000000.0,7675000000.0,12035000000.0,3215000000.0
Caterpillar,2025-12-31,67589000000.0,46111000000.0,21569000000.0,18135000000.0,8968000000.0,11739000000.0,4286000000.0
Deere,2022-10-31,51282000000.0,35552000000.0,6410000000.0,8539000000.0,3894000000.0,4699000000.0,3788000000.0
Deere,2023-10-31,60248000000.0,37942000000.0,7739000000.0,8219000000.0,3467000000.0,8589000000.0,4468000000.0
Deere,2024-10-31,50518000000.0,31023000000.0,5392000000.0,7199000000.0,2698000000.0,9231000000.0,4802000000.0
Deere,2025-10-31,44665000000.0,28370000000.0,5386000000.0,7508000000.0,2985000000.0,7459000000.0,4228000000.0
Honeywell,2022-12-31,35466000000.0,22347000000.0,7440000000.0,5538000000.0,6329000000.0,5274000000.0,766000000.0
Honeywell,2023-12-31,33009000000.0,20637000000.0,7530000000.0,6178000000.0,6849000000.0,5340000000.0,741000000.0
Honeywell,2024-12-31,34717000000.0,21360000000.0,7247000000.0,5884000000.0,6109000000.0,6097000000.0,871000000.0
Honeywell,2025-12-31,37442000000.0,23613000000.0,7621000000.0,6162000000.0,6315000000.0,6408000000.0,986000000.0
