risk_rank,company,primary_product,complaint_count,untimely_rate_pct,dispute_rate_pct,states,peak_monthly_complaints,maximum_monthly_growth_pct,risk_score
1,"Portfolio Recovery Associates, LLC",Debt collection,73,2.74,0.0,17,73,0.0,96.12
2,LEXISNEXIS,Credit reporting or other personal consumer reports,62,1.61,0.0,23,62,0.0,95.45
3,"CCS Financial Services, Inc.",Debt collection,37,64.86,0.0,17,37,0.0,95.3
4,"John C. Heath, Attorney at Law, PLLC",Debt or credit management,47,6.38,0.0,23,47,0.0,95.18
5,"OLIPHANT FINANCIAL, LLC",Debt collection,5,20.0,0.0,5,5,0.0,83.31
6,Incomm Holdings Inc.,Prepaid card,4,75.0,0.0,4,4,0.0,81.8
7,Westcreek Financial,Debt collection,4,25.0,0.0,3,4,0.0,81.33
8,Servicer under contract with Federal Student Aid,Student loan,3,100.0,0.0,3,3,0.0,77.87
9,TomoCredit Inc.,Credit card,3,66.67,0.0,2,3,0.0,77.68
10,"Applied Data Finance, LLC",Credit reporting or other personal consumer reports,2,50.0,0.0,2,2,0.0,69.57
11,"Tesla, Inc.",Credit reporting or other personal consumer reports,2,50.0,0.0,2,2,0.0,69.57
12,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Credit reporting or other personal consumer reports,5763,0.0,0.0,53,5763,0.0,55.0
13,Experian Information Solutions Inc.,Credit reporting or other personal consumer reports,5732,0.0,0.0,54,5732,0.0,54.88
14,"EQUIFAX, INC.",Credit reporting or other personal consumer reports,5371,0.0,0.0,53,5371,0.0,54.77
15,Resurgent Capital Services L.P.,Debt collection,150,0.0,0.0,26,150,0.0,54.65
16,CAPITAL ONE FINANCIAL CORPORATION,Credit reporting or other personal consumer reports,134,0.0,0.0,35,134,0.0,54.54
17,JPMORGAN CHASE & CO.,Checking or savings account,102,0.0,0.0,28,102,0.0,54.42
18,"CITIBANK, N.A.",Credit card,89,0.0,0.0,22,89,0.0,54.31
19,CL Holdings LLC,Debt collection,88,0.0,0.0,27,88,0.0,54.19
20,WELLS FARGO & COMPANY,Checking or savings account,86,0.0,0.0,27,86,0.0,54.08
21,AMERICAN EXPRESS COMPANY,Credit card,82,0.0,0.0,26,82,0.0,53.96
22,"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,68,0.0,0.0,23,68,0.0,53.73
23,ENCORE CAPITAL GROUP INC.,Debt collection,66,0.0,0.0,23,66,0.0,53.62
24,SYNCHRONY FINANCIAL,Credit card,64,0.0,0.0,26,64,0.0,53.5
25,"CBC Companies, Inc.",Credit reporting or other personal consumer reports,62,0.0,0.0,23,62,0.0,53.27
26,NAVY FEDERAL CREDIT UNION,Credit reporting or other personal consumer reports,58,0.0,0.0,20,58,0.0,53.16
27,DISCOVER BANK,Credit reporting or other personal consumer reports,50,0.0,0.0,20,50,0.0,53.04
28,MOHELA,Student loan,47,0.0,0.0,24,47,0.0,52.81
29,GOLDMAN SACHS BANK USA,Credit card,40,0.0,0.0,15,40,0.0,52.7
30,"Bread Financial Holdings, Inc.",Credit card,38,0.0,0.0,15,38,0.0,52.58
31,TRANSWORLD SYSTEMS INC,Debt collection,31,0.0,0.0,15,31,0.0,52.35
32,"Early Warning Services, LLC",Credit reporting or other personal consumer reports,30,0.0,0.0,18,30,0.0,52.12
33,"SANTANDER HOLDINGS USA, INC.",Vehicle loan or lease,30,0.0,0.0,18,30,0.0,52.12
34,"Block, Inc.","Money transfer, virtual currency, or money service",27,0.0,0.0,20,27,0.0,52.01
35,"I.C. System, Inc.",Debt collection,26,0.0,0.0,14,26,0.0,51.66
36,TRUIST FINANCIAL CORPORATION,Credit reporting or other personal consumer reports,26,0.0,0.0,10,26,0.0,51.66
37,U.S. BANCORP,Checking or savings account,26,0.0,0.0,14,26,0.0,51.66
38,TD BANK US HOLDING COMPANY,Credit reporting or other personal consumer reports,25,0.0,0.0,13,25,0.0,51.55
39,BARCLAYS BANK DELAWARE,Credit reporting or other personal consumer reports,24,0.0,0.0,11,24,0.0,51.2
40,"Fidelity National Information Services, Inc. (FNIS)",Credit reporting or other personal consumer reports,24,0.0,0.0,15,24,0.0,51.2
41,"Kriya Capital, LLC",Debt collection,24,0.0,0.0,13,24,0.0,51.2
42,ALLY FINANCIAL INC.,Credit reporting or other personal consumer reports,23,0.0,0.0,14,23,0.0,50.97
43,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",23,0.0,0.0,12,23,0.0,50.97
44,"Affirm Holdings, Inc",Credit reporting or other personal consumer reports,22,0.0,0.0,12,22,0.0,50.74
45,Chime Financial Inc,Checking or savings account,22,0.0,0.0,13,22,0.0,50.74
46,"National Credit Systems,Inc.",Debt collection,21,0.0,0.0,9,21,0.0,50.51
47,OneMain Finance Corporation,Credit reporting or other personal consumer reports,21,0.0,0.0,12,21,0.0,50.51
48,"CAINE & WEINER COMPANY, INC.",Debt collection,20,0.0,0.0,10,20,0.0,50.4
49,"Westlake Services, LLC",Credit reporting or other personal consumer reports,19,0.0,0.0,7,19,0.0,50.28
50,CREDIT ACCEPTANCE CORPORATION,Credit reporting or other personal consumer reports,18,0.0,0.0,9,18,0.0,50.05
51,"Spring Oaks Capital, LLC",Debt collection,18,0.0,0.0,11,18,0.0,50.05
52,"Shellpoint Partners, LLC",Mortgage,17,0.0,0.0,12,17,0.0,49.94
53,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",Debt collection,15,0.0,0.0,10,15,0.0,49.82
54,"CITIZENS FINANCIAL GROUP, INC.",Checking or savings account,14,0.0,0.0,9,14,0.0,49.13
55,"General Motors Financial Company, Inc.",Credit reporting or other personal consumer reports,14,0.0,0.0,9,14,0.0,49.13
56,"HW Holding, Inc",Debt collection,14,0.0,0.0,9,14,0.0,49.13
57,"National Credit Adjusters, LLC",Debt collection,14,0.0,0.0,7,14,0.0,49.13
58,PNC Bank N.A.,Checking or savings account,14,0.0,0.0,10,14,0.0,49.13
59,UNITED SERVICES AUTOMOBILE ASSOCIATION,Checking or savings account,14,0.0,0.0,11,14,0.0,49.13
60,"Nelnet, Inc.",Student loan,13,0.0,0.0,10,13,0.0,49.02
61,Freedom Mortgage Company,Mortgage,12,0.0,0.0,11,12,0.0,48.56
62,"Maximus Federal Services, Inc.",Student loan,12,0.0,0.0,10,12,0.0,48.56
63,Radius Global Solutions LLC,Debt collection,12,0.0,0.0,9,12,0.0,48.56
64,"SOFI TECHNOLOGIES, INC.",Checking or savings account,12,0.0,0.0,10,12,0.0,48.56
65,"CLGF Holdco 1, LLC",Credit reporting or other personal consumer reports,11,0.0,0.0,8,11,0.0,47.98
66,"FAIR COLLECTIONS & OUTSOURCING, INC.",Debt collection,11,0.0,0.0,9,11,0.0,47.98
67,Mr. Cooper Group Inc.,Mortgage,11,0.0,0.0,7,11,0.0,47.98
68,NCB Management Services Inc.,Debt collection,11,0.0,0.0,7,11,0.0,47.98
69,"ProCollect, Inc.",Debt collection,11,0.0,0.0,7,11,0.0,47.98
70,"Harris & Harris, Ltd.",Debt collection,10,0.0,0.0,7,10,0.0,47.64
71,"SUNRISE CREDIT SERVICES, INC",Debt collection,10,0.0,0.0,8,10,0.0,47.64
72,Self Financial Inc.,Credit reporting or other personal consumer reports,10,0.0,0.0,9,10,0.0,47.64
73,Advanced Resolution Services Inc.,Credit reporting or other personal consumer reports,9,0.0,0.0,7,9,0.0,46.72
74,"Aldous & Associates, PLLC",Debt collection,9,0.0,0.0,7,9,0.0,46.72
75,Credit Corp Solutions Inc.,Debt collection,9,0.0,0.0,6,9,0.0,46.72
76,"Exeter Finance, LLC.",Credit reporting or other personal consumer reports,9,0.0,0.0,5,9,0.0,46.72
77,"ID Analytics, Inc.",Credit reporting or other personal consumer reports,9,0.0,0.0,4,9,0.0,46.72
78,TOYOTA MOTOR CREDIT CORPORATION,Credit reporting or other personal consumer reports,9,0.0,0.0,9,9,0.0,46.72
79,TrueAccord Corp.,Debt collection,9,0.0,0.0,8,9,0.0,46.72
