PUF_ID,FWBscore,FSscore,SUBKNOWL1,FINGOALS,SAVEHABIT,LMscore,ABSORBSHOCK,SCFHORIZON,SELFCONTROL_1,PPINCIMP,finalwt
10350,55.0,44.0,5.0,1.0,4.0,3.0,4.0,3.0,2.0,7.0,0.367291877597199
7740,51.0,43.0,5.0,0.0,1.0,3.0,3.0,3.0,2.0,6.0,1.32756071178087
13699,49.0,42.0,5.0,1.0,5.0,3.0,4.0,4.0,3.0,6.0,0.835155811914691
7267,49.0,42.0,,,4.0,2.0,,,,8.0,1.410871002025
7375,49.0,42.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,7.0,4.26066814335885
10910,67.0,57.0,6.0,1.0,4.0,3.0,4.0,1.0,1.0,7.0,0.760060876128717
11079,51.0,54.0,5.0,1.0,5.0,3.0,4.0,3.0,1.0,7.0,1.37052173967805
7741,47.0,35.0,4.0,0.0,2.0,3.0,1.0,2.0,3.0,4.0,1.19336506580727
8303,43.0,58.0,4.0,0.0,4.0,2.0,3.0,3.0,4.0,7.0,2.49783836057458
9688,58.0,42.0,4.0,1.0,5.0,3.0,4.0,4.0,2.0,8.0,1.26660232912984
13180,78.0,66.0,5.0,1.0,6.0,2.0,4.0,5.0,2.0,6.0,0.9379121198635552
10127,62.0,57.0,5.0,1.0,5.0,3.0,4.0,4.0,2.0,8.0,0.745163109450516
7852,50.0,49.0,5.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,1.29257634075048
7376,40.0,30.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,9.0,1.14093362145229
8304,61.0,71.0,7.0,1.0,6.0,3.0,4.0,5.0,1.0,9.0,0.810600275696189
11726,69.0,48.0,4.0,0.0,5.0,3.0,4.0,4.0,1.0,2.0,4.28398465368331
11221,37.0,32.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.02519171409611
8121,52.0,40.0,5.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.04518051687367
8122,69.0,50.0,7.0,0.0,5.0,2.0,4.0,5.0,3.0,9.0,0.49505346992289
12990,67.0,79.0,7.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,0.86699943390379
10548,40.0,38.0,3.0,1.0,4.0,2.0,4.0,2.0,2.0,8.0,1.30150653538086
13389,51.0,41.0,5.0,,4.0,2.0,3.0,3.0,2.0,6.0,1.1633208868472
10351,61.0,54.0,5.0,1.0,5.0,3.0,4.0,5.0,2.0,8.0,0.450493754246585
13255,37.0,49.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.04433916723361
7853,47.0,75.0,4.0,1.0,6.0,2.0,,2.0,2.0,8.0,1.57280372533545
12675,64.0,68.0,6.0,1.0,4.0,3.0,4.0,3.0,1.0,7.0,0.369339629236367
11353,80.0,51.0,6.0,0.0,5.0,3.0,4.0,4.0,3.0,8.0,0.389242114325975
9433,63.0,50.0,5.0,1.0,6.0,2.0,4.0,3.0,1.0,7.0,0.828111178683571
12518,52.0,61.0,5.0,1.0,4.0,3.0,4.0,2.0,1.0,6.0,1.08934450393574
10549,62.0,48.0,5.0,0.0,4.0,2.0,4.0,2.0,2.0,6.0,0.616246170526686
8518,40.0,31.0,2.0,0.0,4.0,2.0,,4.0,3.0,1.0,1.03844687194095
11727,33.0,35.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.01016772555133
10911,45.0,42.0,5.0,1.0,2.0,3.0,2.0,4.0,1.0,7.0,1.51550699282138
8945,33.0,37.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.49569506017047
11354,54.0,51.0,5.0,1.0,6.0,3.0,3.0,1.0,2.0,1.0,0.639515233996807
12162,39.0,28.0,3.0,0.0,3.0,2.0,1.0,4.0,3.0,8.0,0.790106185384546
7854,56.0,50.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,6.0,1.32756071178087
11080,38.0,43.0,5.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.698364427747352
10757,77.0,57.0,6.0,1.0,6.0,3.0,4.0,5.0,1.0,9.0,0.641699028519133
10758,57.0,76.0,6.0,1.0,6.0,3.0,4.0,5.0,2.0,8.0,0.57682275648546
