PUF_ID,segment
10350,Ahorradores en desarrollo
7740,Vulnerables reactivos
13699,Ahorradores en desarrollo
7375,Ahorradores en desarrollo
10910,Informados inconsistentes
11079,Ahorradores en desarrollo
7741,Vulnerables reactivos
8303,Ahorradores en desarrollo
9688,Ahorradores en desarrollo
13180,Resilientes planificadores
10127,Resilientes planificadores
7852,Informados inconsistentes
7376,Vulnerables reactivos
8304,Resilientes planificadores
11726,Ahorradores en desarrollo
11221,Vulnerables reactivos
8121,Vulnerables reactivos
8122,Resilientes planificadores
12990,Informados inconsistentes
10548,Vulnerables reactivos
13389,Ahorradores en desarrollo
10351,Resilientes planificadores
13255,Vulnerables reactivos
7853,Informados inconsistentes
12675,Resilientes planificadores
11353,Resilientes planificadores
9433,Resilientes planificadores
12518,Informados inconsistentes
10549,Informados inconsistentes
8518,Vulnerables reactivos
11727,Vulnerables reactivos
10911,Ahorradores en desarrollo
8945,Vulnerables reactivos
11354,Informados inconsistentes
12162,Vulnerables reactivos
7854,Vulnerables reactivos
11080,Vulnerables reactivos
10757,Resilientes planificadores
10758,Resilientes planificadores
10128,Informados inconsistentes
12639,Resilientes planificadores
14399,Ahorradores en desarrollo
10352,Ahorradores en desarrollo
12163,Vulnerables reactivos
10353,Ahorradores en desarrollo
8305,Resilientes planificadores
9182,Vulnerables reactivos
8946,Vulnerables reactivos
14079,Vulnerables reactivos
13243,Resilientes planificadores
9183,Ahorradores en desarrollo
12560,Informados inconsistentes
11222,Informados inconsistentes
11081,Resilientes planificadores
8947,Resilientes planificadores
8306,Resilientes planificadores
9915,Resilientes planificadores
8712,Ahorradores en desarrollo
12710,Resilientes planificadores
10129,Resilientes planificadores
11082,Resilientes planificadores
12298,Ahorradores en desarrollo
10759,Resilientes planificadores
9184,Ahorradores en desarrollo
8713,Ahorradores en desarrollo
9434,Ahorradores en desarrollo
10912,Informados inconsistentes
10130,Ahorradores en desarrollo
8308,Resilientes planificadores
10550,Informados inconsistentes
8714,Ahorradores en desarrollo
7314,Resilientes planificadores
14099,Resilientes planificadores
7315,Ahorradores en desarrollo
