invoice_id,customer_id,invoice_date,due_date,amount,segment,payment_terms_days,prior_late_rate,prior_avg_delay_days,dispute_flag,days_since_last_payment,macro_pressure,late_30
INV0000805,C01167,2023-01-01,2023-01-31,2514.86,SMB,30,0.2684,4.74,0,34.6,0.0,1
INV0001499,C02126,2023-01-01,2023-02-15,677.29,SMB,45,0.1422,8.88,0,22.7,0.0,0
INV0001543,C02256,2023-01-01,2023-01-31,1868.69,SMB,30,0.0331,11.11,0,17.3,0.0,0
INV0003764,C00898,2023-01-01,2023-01-31,3089.95,SMB,30,0.5362,22.16,0,32.3,0.0,1
INV0004250,C01139,2023-01-01,2023-01-31,1122.98,Mid-market,30,0.379,20.41,0,69.8,0.0,0
INV0004936,C02262,2023-01-01,2023-01-16,363.6,SMB,15,0.6331,26.36,0,39.3,0.0,1
INV0005397,C02047,2023-01-01,2023-02-15,745.8,SMB,45,0.1538,9.99,0,28.4,0.0,0
INV0005457,C00745,2023-01-01,2023-02-15,1292.6,SMB,45,0.2516,18.48,0,20.8,0.0,0
INV0005528,C00420,2023-01-01,2023-01-31,779.15,SMB,30,0.1292,6.87,0,13.6,0.0,0
INV0007953,C02217,2023-01-01,2023-01-31,572.0,SMB,30,0.5773,27.55,0,24.5,0.0,1
INV0008405,C00031,2023-01-01,2023-01-31,4473.92,SMB,30,0.476,21.15,0,21.0,0.0,0
INV0008608,C01620,2023-01-01,2023-01-31,1731.41,SMB,30,0.1806,0.0,0,26.2,0.0,1
INV0011181,C00050,2023-01-01,2023-01-31,2069.48,Mid-market,30,0.4673,16.92,0,88.2,0.0,1
INV0012685,C02083,2023-01-01,2023-01-16,21825.75,Mid-market,15,0.3002,16.74,0,23.7,0.0,1
INV0013646,C01444,2023-01-01,2023-01-31,1105.15,SMB,30,0.4555,28.69,0,45.1,0.0,0
INV0013683,C02314,2023-01-01,2023-01-31,12978.24,Mid-market,30,0.2406,7.25,0,31.8,0.0,0
INV0017629,C01116,2023-01-01,2023-01-31,1785.6,SMB,30,0.0,2.94,0,32.0,0.0,0
INV0018728,C01214,2023-01-01,2023-03-02,985.76,SMB,60,0.0191,8.78,0,27.7,0.0,0
INV0019645,C00899,2023-01-01,2023-01-31,4164.27,SMB,30,0.2427,2.05,0,30.2,0.0,0
INV0000349,C01691,2023-01-02,2023-02-01,5066.06,Mid-market,30,0.1739,16.93,0,16.4,0.0,0
INV0002055,C01593,2023-01-02,2023-02-16,358.61,SMB,45,0.345,21.24,0,15.3,0.0,1
INV0002147,C01271,2023-01-02,2023-02-16,3620.83,Mid-market,45,0.4731,15.97,0,19.5,0.0,1
INV0002169,C01229,2023-01-02,2023-02-01,1060.16,Mid-market,30,0.4149,17.59,0,15.4,0.0,0
INV0003524,C00714,2023-01-02,2023-01-17,1968.18,Mid-market,15,0.3316,14.62,1,30.7,0.0,0
INV0004532,C01776,2023-01-02,2023-03-03,1499.68,SMB,60,0.1678,13.16,0,9.3,0.0,0
INV0005432,C00084,2023-01-02,2023-02-01,1561.79,Mid-market,30,0.4699,13.61,0,20.3,0.0,0
INV0006906,C01431,2023-01-02,2023-02-16,807.76,SMB,45,0.0717,0.16,0,24.9,0.0,1
INV0008323,C00672,2023-01-02,2023-02-01,10472.49,Mid-market,30,0.001,0.0,0,14.5,0.0,0
INV0012692,C00381,2023-01-02,2023-02-01,406.62,SMB,30,0.197,7.59,0,14.8,0.0,0
