agency,payee_name,check_amount,issue_date,spending_category,expense_category,contract_id,duplicate_like,missing_contract,round_amount,category_outlier,anomaly_score,rule_count,evidence_score
Debt Service,STATE OF NEW YORK,99000000.0,2024-06-21,Others,INTEREST ON BONDS - GENERAL,,1,0,1,1,0.8215307483739178,3,99.981
Debt Service,STATE OF NEW YORK,99000000.0,2024-06-21,Others,INTEREST ON BONDS - GENERAL,,1,0,1,1,0.8215307483739178,3,99.981
Debt Service,STATE OF NEW YORK,99000000.0,2024-06-21,Others,INTEREST ON BONDS - GENERAL,,1,0,1,1,0.8215307483739178,3,99.981
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,99000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,1,0,1,1,0.812624236540901,3,99.9738
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,99000000.0,2024-06-25,Others,SUPPLEMENTAL EMPLOYEE WELF BEN,,1,0,1,1,0.812624236540901,3,99.9738
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,99000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,1,0,1,1,0.812624236540901,3,99.9738
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,99000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,1,0,1,1,0.812624236540901,3,99.9738
Miscellaneous,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,99000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,1,0,1,1,0.812624236540901,3,99.9738
Pension Contributions,POLICE-PENSION FUNDING,99000000.0,2023-12-20,Contracts,POLICE ACTUARIAL PENSION FUND,PON1056242560005,0,0,1,1,0.7983941426240841,2,88.30173333333333
Debt Service,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY,99000000.0,2024-06-20,Others,INTEREST ON BONDS - GENERAL,,0,0,1,1,0.7959969373513726,2,88.29993333333333
Miscellaneous,NYC BAIL SETTLEMENT QSF,90000000.0,2023-09-05,Others,JUDGMENTS AND CLAIMS-NOT REPORTABLE,,0,0,1,1,0.7927125281657721,2,88.28873333333334
Administration for Children's Services,Flagstar Bank NA,86000000.0,2024-05-02,Others,DAY CARE OF CHILDREN,,0,0,1,1,0.789144990382841,2,88.28133333333334
Department of Education,NEW YORK CITY RETIREE HEALTH BENEFITS TRUST,99000000.0,2024-06-25,Others,HEALTH INSURANCE PLAN CITY EMP,,0,0,1,1,0.785384871923093,2,88.28013333333332
Pension Contributions,TRS-PENSION FUNDING,99999999.0,2024-05-20,Contracts,TEACH RET SYS CONTINGNT RES SY,PON104120242000137,1,0,0,1,0.7808830484271913,2,88.27963333333334
Pension Contributions,TRS-PENSION FUNDING,99999999.0,2024-05-20,Contracts,TEACH RET SYS CONTINGNT RES SY,PON104120242000137,1,0,0,1,0.7808830484271913,2,88.27963333333334
Housing Preservation and Development,NEW YORK CITY HOUSING DEVELOPMENT CORP,99000000.0,2023-07-17,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232017311,0,0,1,1,0.7843098396732852,2,88.27563333333333
Housing Preservation and Development,NEW YORK CITY HOUSING DEVELOPMENT CORP,99000000.0,2023-11-29,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620242005237,0,0,1,1,0.7843098396732852,2,88.27563333333333
Housing Preservation and Development,1760 THIRD AVENUE HOUSING DEVELOPMENT FUND CORPORATION,70000000.0,2024-06-26,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620242015736,0,0,1,1,0.7939052878316919,2,88.27373333333333
City University of New York,C M B FOR TRANSFER TO KEY,70000000.0,2023-08-08,Others,ADV TO STNY FR CUNY SR COL EXP,,0,0,1,1,0.7873672467943268,2,88.26293333333334
City University of New York,C M B FOR TRANSFER TO KEY,70000000.0,2023-08-29,Others,ADV TO STNY FR CUNY SR COL EXP,,0,0,1,1,0.7873672467943268,2,88.26293333333334
City University of New York,C M B FOR TRANSFER TO KEY,70000000.0,2023-09-19,Others,ADV TO STNY FR CUNY SR COL EXP,,0,0,1,1,0.7873672467943268,2,88.26293333333334
City University of New York,C M B FOR TRANSFER TO KEY,70000000.0,2024-03-05,Others,ADV TO STNY FR CUNY SR COL EXP,,0,0,1,1,0.7873672467943268,2,88.26293333333334
City University of New York,C M B FOR TRANSFER TO KEY,70000000.0,2024-04-30,Others,ADV TO STNY FR CUNY SR COL EXP,,0,0,1,1,0.7873672467943268,2,88.26293333333334
City University of New York,C M B FOR TRANSFER TO KEY,70000000.0,2024-06-04,Others,ADV TO STNY FR CUNY SR COL EXP,,0,0,1,1,0.7873672467943268,2,88.26293333333334
Administration for Children's Services,Flagstar Bank NA,54000000.0,2023-11-20,Others,DAY CARE OF CHILDREN,,0,0,1,1,0.7873672467943268,2,88.25733333333334
Department of Education,NYC SCHOOL BUS UMBRELLA SERVICES INC,32050000.0,2024-06-14,Contracts,TRANSP OF PUPILS-NYCTA,DO104020244001964,0,0,1,1,0.78323473707475,2,88.22213333333333
Administration for Children's Services,Flagstar Bank NA,28080000.0,2023-09-22,Others,DAY CARE OF CHILDREN,,0,0,1,1,0.7850031501473096,2,88.22033333333334
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,18000000.0,2023-07-05,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,0,0,1,1,0.7819009281823274,2,88.19393333333332
